type,latitude,longitude,alt
T,48.1948266667,-3.01767833333,169.2
T,48.19483,-3.01768333333,169.0
T,48.194835,-3.01769,168.9
T,48.19484,-3.01769666667,168.8
T,48.194845,-3.01770333333,168.7
T,48.1948483333,-3.01771166667,168.6
T,48.1948533333,-3.01771833333,168.5
T,48.1948583333,-3.01772666667,168.4
T,48.1948616667,-3.017735,168.3
T,48.1948666667,-3.01774333333,168.2
T,48.19487,-3.01775166667,168.2
T,48.1948733333,-3.01776,168.1
T,48.1948783333,-3.01777,168.0
T,48.1948816667,-3.01777833333,167.9
T,48.194885,-3.01778833333,167.8
T,48.1948883333,-3.01779833333,167.7
T,48.1948933333,-3.01780666667,167.6
T,48.1948966667,-3.01781333333,167.7
T,48.1949016667,-3.01782166667,167.7
T,48.1949066667,-3.01783,167.6
T,48.19491,-3.017835,167.8
T,48.194915,-3.01784333333,167.8
T,48.1949216667,-3.01785,167.8
T,48.1949266667,-3.01786,167.7
T,48.1949316667,-3.017865,167.8
T,48.1949366667,-3.01787,167.9
T,48.1949416667,-3.01787666667,168.0
T,48.1949466667,-3.01788333333,168.0
T,48.1949533333,-3.01789,167.9
T,48.1949583333,-3.0179,167.8
T,48.194965,-3.017905,167.9
T,48.1949716667,-3.017905,168.2
T,48.1949783333,-3.01790666667,168.5
T,48.194985,-3.01791,168.7
T,48.19499,-3.01791166667,169.2
T,48.1949966667,-3.01791833333,169.4
T,48.1950016667,-3.017925,169.4
T,48.1950083333,-3.017935,169.3
T,48.195015,-3.01794166667,169.4
T,48.1950216667,-3.01795,169.4
T,48.1950283333,-3.01795166667,169.9
T,48.195035,-3.017955,170.3
T,48.1950416667,-3.01795666667,170.7
T,48.1950483333,-3.01796166667,170.7
T,48.195055,-3.01797166667,170.5
T,48.1950633333,-3.01798166667,170.4
T,48.19507,-3.01799166667,170.1
T,48.1950783333,-3.018005,169.4
T,48.1950866667,-3.01801666667,168.7
T,48.1950933333,-3.01802833333,168.2
T,48.1951,-3.01803833333,167.9
T,48.1951066667,-3.01804833333,167.4
T,48.1951133333,-3.01805333333,167.7
T,48.1951183333,-3.01806333333,167.1
T,48.1951266667,-3.01808,166.4
T,48.195135,-3.01808833333,166.2
T,48.1951416667,-3.01809666667,166.0
T,48.1951483333,-3.01810166667,165.9
T,48.1951566667,-3.01810833333,166.0
T,48.1951633333,-3.01811666667,165.8
T,48.19517,-3.01812666667,165.6
T,48.1951766667,-3.01813166667,165.8
T,48.1951833333,-3.01814,165.9
T,48.1951916667,-3.01815166667,165.5
T,48.1951983333,-3.01816166667,165.4
T,48.195205,-3.018165,165.9
T,48.1952116667,-3.01817166667,165.7
T,48.19522,-3.01818,165.5
T,48.1952266667,-3.01818833333,165.4
T,48.195235,-3.01819666667,165.3
T,48.1952416667,-3.01820666667,165.2
T,48.19525,-3.018215,165.0
T,48.1952566667,-3.01822,165.2
T,48.1952633333,-3.01822833333,165.2
T,48.19527,-3.018235,165.3
T,48.1952766667,-3.01824333333,165.2
T,48.1952833333,-3.01825,165.5
T,48.1952883333,-3.01825166667,165.9
T,48.195295,-3.01826166667,165.7
T,48.1953016667,-3.01826333333,166.3
T,48.1953083333,-3.01826666667,166.6
T,48.195315,-3.01827333333,166.6
T,48.1953216667,-3.01827666667,166.9
T,48.1953283333,-3.018285,166.8
T,48.195335,-3.01829166667,167.1
T,48.1953416667,-3.01829666667,167.2
T,48.1953483333,-3.01830333333,167.3
T,48.195355,-3.01831,167.3
T,48.1953633333,-3.018315,167.5
T,48.19537,-3.018325,167.3
T,48.1953766667,-3.01833333333,167.4
T,48.1953816667,-3.01833666667,167.8
T,48.1953883333,-3.01834,168.2
T,48.1953916667,-3.01834333333,168.3
T,48.195395,-3.01834333333,168.5
T,48.1953966667,-3.01834333333,168.7
T,48.1953966667,-3.01834333333,168.8
T,48.1953966667,-3.01834333333,168.8
T,48.195395,-3.01834,168.9
T,48.1953933333,-3.01833833333,168.8
T,48.19539,-3.01834166667,168.3
T,48.1953883333,-3.01834666667,167.7
T,48.195385,-3.01835,167.2
T,48.1953816667,-3.018355,166.7
T,48.1953783333,-3.01835833333,166.4
T,48.195375,-3.01836166667,166.3
T,48.1953733333,-3.018365,166.2
T,48.1953683333,-3.01836833333,166.2
T,48.1953683333,-3.01836833333,166.5
T,48.1953666667,-3.01836833333,166.7
T,48.1953666667,-3.018365,166.8
T,48.1953633333,-3.01836166667,166.8
T,48.1953633333,-3.01835666667,166.9
T,48.1953633333,-3.01834833333,167.0
T,48.1953633333,-3.01834,167.5
T,48.1953616667,-3.01833333333,167.7
T,48.1953616667,-3.018325,168.0
T,48.19536,-3.01832166667,167.8
T,48.1953583333,-3.01831666667,167.7
T,48.195355,-3.01831166667,167.6
T,48.1953516667,-3.01830666667,167.5
T,48.1953483333,-3.01830166667,167.5
T,48.195345,-3.01830166667,167.1
T,48.19534,-3.01830166667,166.8
T,48.195335,-3.01828833333,167.7
T,48.19533,-3.01828,168.1
T,48.195325,-3.01827333333,168.5
T,48.1953216667,-3.01826166667,169.0
T,48.1953183333,-3.01825333333,169.0
T,48.195315,-3.018245,169.1
T,48.19531,-3.01823833333,169.1
T,48.1953066667,-3.01823833333,168.5
T,48.1953033333,-3.018235,168.4
T,48.1953,-3.01823166667,168.1
T,48.1952966667,-3.018225,168.1
T,48.1952916667,-3.01822,167.8
T,48.1952866667,-3.01822166667,167.5
T,48.19528,-3.01822166667,167.4
